group	SampleID_Description	Condition	Growth	Treatment	Replicate	Description
213	213-AE-BF-SSPOX-3	Aerobic	Biofilm	SsoPox	3	Plaque_Aerobic_Biofilm_SsoPox_Replicate 3
214	214-AE-BF-SSPOX-4	Aerobic	Biofilm	SsoPox	4	Plaque_Aerobic_Biofilm_SsoPox_Replicate 4
215	215-AE-BF-SSPOX-5	Aerobic	Biofilm	SsoPox	5	Plaque_Aerobic_Biofilm_SsoPox_Replicate 5
216	216-AE-BF-SSPOX-6	Aerobic	Biofilm	SsoPox	6	Plaque_Aerobic_Biofilm_SsoPox_Replicate 6
217	217-AE-PL-SSPOX-1	Aerobic	Planktonic	SsoPox	1	Plaque_Aerobic_Planktonic_SsoPox_Replicate 1
218	218-AE-PL-SSPOX-2	Aerobic	Planktonic	SsoPox	2	Plaque_Aerobic_Planktonic_SsoPox_Replicate 2
219	219-AE-PL-SSPOX-3	Aerobic	Planktonic	SsoPox	3	Plaque_Aerobic_Planktonic_SsoPox_Replicate 3
220	220-AE-PL-SSPOX-4	Aerobic	Planktonic	SsoPox	4	Plaque_Aerobic_Planktonic_SsoPox_Replicate 4
221	221-AE-PL-SSPOX-5	Aerobic	Planktonic	SsoPox	5	Plaque_Aerobic_Planktonic_SsoPox_Replicate 5
222	222-AE-PL-SSPOX-6	Aerobic	Planktonic	SsoPox	6	Plaque_Aerobic_Planktonic_SsoPox_Replicate 6
241	241-AE-BF-GCL-1	Aerobic	Biofilm	GcL	1	Plaque_Aerobic_Biofilm_GcL_Replicate 1
242	242-AE-BF-GCL-2	Aerobic	Biofilm	GcL	2	Plaque_Aerobic_Biofilm_GcL_Replicate 2
243	243-AE-BF-GCL-3	Aerobic	Biofilm	GcL	3	Plaque_Aerobic_Biofilm_GcL_Replicate 3
244	244-AE-BF-GCL-4	Aerobic	Biofilm	GcL	4	Plaque_Aerobic_Biofilm_GcL_Replicate 4
245	245-AE-BF-GCL-5	Aerobic	Biofilm	GcL	5	Plaque_Aerobic_Biofilm_GcL_Replicate 5
246	246-AE-BF-GCL-6	Aerobic	Biofilm	GcL	6	Plaque_Aerobic_Biofilm_GcL_Replicate 6
247	247-AE-PL-GCL-1	Aerobic	Planktonic	GcL	1	Plaque_Aerobic_Planktonic_GcL_Replicate 1
248	248-AE-PL-GCL-2	Aerobic	Planktonic	GcL	2	Plaque_Aerobic_Planktonic_GcL_Replicate 2
249	249-AE-PL-GCL-3	Aerobic	Planktonic	GcL	3	Plaque_Aerobic_Planktonic_GcL_Replicate 3
250	250-AE-PL-GCL-4	Aerobic	Planktonic	GcL	4	Plaque_Aerobic_Planktonic_GcL_Replicate 4
251	251-AE-PL-GCL-5	Aerobic	Planktonic	GcL	5	Plaque_Aerobic_Planktonic_GcL_Replicate 5
252	252-AE-PL-GCL-6	Aerobic	Planktonic	GcL	6	Plaque_Aerobic_Planktonic_GcL_Replicate 6
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
